order_id,customer_id,method,gross_paise,order_date,status
ORD-1001,CUST-021,upi,848366,2026-08-07,captured
ORD-1002,CUST-058,credit_card,1009780,2026-08-09,captured
ORD-1003,CUST-036,rupay_debit,1405194,2026-08-05,captured
ORD-1004,CUST-029,rupay_debit,418101,2026-08-08,captured
ORD-1005,CUST-019,upi,1363113,2026-08-10,captured
ORD-1006,CUST-032,wallet,1138141,2026-08-14,captured
ORD-1007,CUST-023,visa_debit,609349,2026-08-06,captured
ORD-1008,CUST-005,wallet,1209744,2026-08-16,captured
ORD-1009,CUST-019,rupay_debit,496259,2026-08-15,captured
ORD-1010,CUST-046,wallet,971040,2026-08-17,captured
ORD-1011,CUST-024,visa_debit,780455,2026-08-16,captured
ORD-1012,CUST-036,rupay_debit,841615,2026-08-11,captured
ORD-1013,CUST-057,rupay_debit,829551,2026-08-09,captured
ORD-1014,CUST-037,netbanking,810166,2026-08-09,captured
ORD-1015,CUST-015,rupay_debit,1279717,2026-08-04,captured
ORD-1016,CUST-034,wallet,1477986,2026-08-16,captured
ORD-1017,CUST-028,rupay_debit,795119,2026-08-10,captured
ORD-1018,CUST-041,upi,1173059,2026-08-07,captured
ORD-1019,CUST-035,wallet,436272,2026-08-11,captured
ORD-1020,CUST-036,visa_debit,1335383,2026-08-09,captured
ORD-1021,CUST-052,netbanking,1474052,2026-08-11,captured
ORD-1022,CUST-054,visa_debit,465702,2026-08-17,captured
ORD-1023,CUST-057,wallet,1003559,2026-08-05,captured
ORD-1024,CUST-024,netbanking,352434,2026-08-06,captured
ORD-1025,CUST-033,netbanking,1281164,2026-08-05,captured
ORD-1026,CUST-043,rupay_debit,80038,2026-08-12,captured
ORD-1027,CUST-029,upi,1154492,2026-08-05,captured
ORD-1028,CUST-029,visa_debit,324955,2026-08-04,captured
ORD-1029,CUST-005,netbanking,1087535,2026-08-10,captured
ORD-1030,CUST-013,upi,1249753,2026-08-15,captured
ORD-1031,CUST-006,upi,25358,2026-08-08,captured
ORD-1032,CUST-040,upi,1325526,2026-08-14,captured
ORD-1033,CUST-003,rupay_debit,1256870,2026-08-13,captured
ORD-1034,CUST-023,wallet,278501,2026-08-12,captured
ORD-1035,CUST-037,rupay_debit,1285763,2026-08-06,captured
ORD-1036,CUST-035,credit_card,390261,2026-08-08,captured
ORD-1037,CUST-057,rupay_debit,1159665,2026-08-13,captured
ORD-1038,CUST-043,netbanking,287318,2026-08-05,captured
ORD-1039,CUST-033,visa_debit,700050,2026-08-17,captured
ORD-1040,CUST-052,rupay_debit,347249,2026-08-17,captured
ORD-1041,CUST-025,upi,1479510,2026-08-17,captured
ORD-1042,CUST-042,visa_debit,604099,2026-08-16,captured
ORD-1043,CUST-033,upi,804942,2026-08-16,captured
ORD-1044,CUST-029,visa_debit,559116,2026-08-17,refunded
ORD-1045,CUST-037,netbanking,1038522,2026-08-15,refunded
ORD-1046,CUST-034,rupay_debit,364156,2026-08-13,refunded
ORD-1047,CUST-022,upi,776777,2026-08-17,refunded
ORD-1048,CUST-015,credit_card,1136691,2026-08-10,refunded
ORD-1049,CUST-021,upi,848366,2026-08-07,captured
ORD-1050,CUST-058,credit_card,1009780,2026-08-09,captured
ORD-1051,CUST-005,upi,254152,2026-08-12,captured
ORD-1052,CUST-003,upi,110083,2026-08-12,captured
ORD-1053,CUST-059,upi,101006,2026-08-12,captured
ORD-1054,CUST-042,upi,253107,2026-08-12,captured
ORD-1055,CUST-029,upi,385597,2026-08-12,captured
ORD-1056,CUST-042,upi,107262,2026-08-12,captured
ORD-1057,CUST-090,credit_card,481200,2026-08-09,captured
ORD-1058,CUST-012,credit_card,734000,2026-08-16,captured
ORD-1059,CUST-037,credit_card,734000,2026-08-16,captured
ORD-1060,CUST-009,visa_debit,1311867,2026-08-13,captured
ORD-1061,CUST-058,visa_debit,287785,2026-08-07,captured
ORD-1062,CUST-018,credit_card,721969,2026-08-21,captured
ORD-1063,CUST-027,credit_card,1447211,2026-08-20,captured
