settlement_id,utr,order_ref,customer_ref,method,gross_paise,mdr_paise,platform_fee_paise,gst_paise,net_paise,settled_date,txn_type
SET-5001,UTR013775684,ORD-1001,CUST-021,upi,848366,7635,1697,1680,837354,2026-08-08,credit
SET-5002,UTR056453983,ORD-1002,CUST-058,credit_card,1009780,26759,2020,5180,975821,2026-08-11,credit
SET-5003,UTR065888073,ORD-1003,CUST-036,rupay_debit,1405194,12647,2810,2782,1386955,2026-08-07,credit
SET-5004,UTR010834547,ORD-1004,CUST-029,rupay_debit,418101,0,836,150,417115,2026-08-10,credit
SET-5005,UTR001542004,ORD-1005,CUST-019,upi,1363113,0,2726,491,1359896,2026-08-11,credit
SET-5006,UTR053313617,ORD-1006,CUST-032,wallet,1138141,20487,2276,4097,1111281,2026-08-16,credit
SET-5007,UTR068932553,ORD-1007,CUST-023,visa_debit,609349,9445,1219,1920,596765,2026-08-08,credit
SET-5008,UTR074819744,ORD-1008,CUST-005,wallet,1209744,21775,2419,4355,1181195,2026-08-18,credit
SET-5009,UTR086542925,ORD-1009,CUST-019,rupay_debit,496259,0,993,179,495087,2026-08-17,credit
SET-5010,UTR095410327,ORD-1010,CUST-046,wallet,971040,17479,1942,3496,948123,2026-08-19,credit
SET-5011,UTR053522449,ORD-1011,CUST-024,visa_debit,780455,7024,1561,1545,770325,2026-08-18,credit
SET-5012,UTR067962320,ORD-1012,CUST-036,rupay_debit,841615,0,1683,303,839629,2026-08-13,credit
SET-5013,UTR034714533,ORD-1013,CUST-057,rupay_debit,829551,0,1659,299,827593,2026-08-11,credit
SET-5014,UTR003405927,ORD-1014,CUST-037,netbanking,810166,12152,1620,2479,793915,2026-08-11,credit
SET-5015,UTR006561596,ORD-1015,CUST-015,rupay_debit,1279717,0,2559,461,1276697,2026-08-06,credit
SET-5016,UTR096275386,ORD-1016,CUST-034,wallet,1477986,26604,2956,5321,1443105,2026-08-18,credit
SET-5017,UTR030726097,ORD-1017,CUST-028,rupay_debit,795119,0,1590,286,793243,2026-08-12,credit
SET-5018,UTR063002611,ORD-1018,CUST-041,upi,1173059,0,2346,422,1170291,2026-08-08,credit
SET-5019,UTR089892850,ORD-1019,CUST-035,wallet,436272,7853,873,1571,425975,2026-08-13,credit
SET-5020,UTR093727401,ORD-1020,CUST-036,visa_debit,1335383,12018,2671,2644,1318050,2026-08-11,credit
SET-5021,UTR027183296,ORD-1021,CUST-052,netbanking,1474052,22111,2948,4511,1444482,2026-08-13,credit
SET-5022,UTR020111687,ORD-1022,CUST-054,visa_debit,465702,4191,931,922,459658,2026-08-19,credit
SET-5023,UTR070180947,ORD-1023,CUST-057,wallet,1003559,18064,2007,3613,979875,2026-08-07,credit
SET-5024,UTR065171986,ORD-1024,CUST-024,netbanking,352434,5287,705,1079,345363,2026-08-08,credit
SET-5025,UTR058281295,ORD-1025,CUST-033,netbanking,1281164,19217,2562,3920,1255465,2026-08-07,credit
SET-5026,UTR061425491,ORD-1026,CUST-043,rupay_debit,80038,0,160,29,79849,2026-08-14,credit
SET-5027,UTR069145394,ORD-1027,CUST-029,upi,1154492,0,2309,416,1151767,2026-08-06,credit
SET-5028,UTR097707066,ORD-1028,CUST-029,visa_debit,324955,2925,650,644,320736,2026-08-06,credit
SET-5029,UTR049677843,ORD-1029,CUST-005,netbanking,1087535,16313,2175,3328,1065719,2026-08-12,credit
SET-5030,UTR060316750,ORD-1030,CUST-013,upi,1249753,0,2500,450,1246803,2026-08-16,credit
SET-5031,UTR073362139,ORD-1031,CUST-006,upi,25358,0,51,9,25298,2026-08-09,credit
SET-5032,UTR016216039,ORD-1032,CUST-040,upi,1325526,0,2651,477,1322398,2026-08-15,credit
SET-5033,UTR089721481,ORD-1033,CUST-003,rupay_debit,1256870,0,2514,453,1253903,2026-08-15,credit
SET-5034,UTR089198595,ORD-1034,CUST-023,wallet,278501,5013,557,1003,271928,2026-08-14,credit
SET-5035,UTR096700199,ORD-1035,CUST-037,rupay_debit,1285763,0,2572,463,1282728,2026-08-08,credit
SET-5036,UTR017611550,ORD-1036,CUST-035,credit_card,390261,7805,781,1545,380130,2026-08-10,credit
SET-5037,UTR011332433,ORD-1037,CUST-057,rupay_debit,1159665,0,2319,417,1156929,2026-08-15,credit
SET-5038,UTR078655506,ORD-1038,CUST-043,netbanking,287318,4310,575,879,281554,2026-08-07,credit
SET-5039,UTR019936204,,CUST-033,visa_debit,700050,6300,1400,1386,690964,2026-08-20,credit
SET-5040,UTR001896747,,CUST-052,rupay_debit,347249,0,694,125,346430,2026-08-20,credit
SET-5041,UTR006895485,,CUST-025,upi,1479510,0,2959,533,1476018,2026-08-20,credit
SET-5042,UTR003461507,,CUST-042,visa_debit,604099,5437,1208,1196,596258,2026-08-20,credit
SET-5043,UTR091643123,,CUST-033,upi,804942,0,1610,290,803042,2026-08-20,credit
SET-5044,UTR066782671,ORD-1044,CUST-029,visa_debit,559116,0,0,0,-559116,2026-08-20,refund
SET-5045,UTR020654844,,CUST-037,netbanking,1038522,0,0,0,-1038522,2026-08-20,refund
SET-5046,UTR083663689,,CUST-034,rupay_debit,364156,0,0,0,-364156,2026-08-20,refund
SET-5047,UTR095421488,,,upi,1211207,0,2422,436,1208349,2026-08-13,batch
SET-5048,UTR091084790,,CUST-041,upi,481200,0,962,173,480065,2026-08-12,credit
SET-5049,UTR002747414,,,credit_card,734000,14680,1468,2907,714945,2026-08-19,credit
SET-5050,UTR052341080,,CUST-055,wallet,1408424,25352,2817,5070,1375185,2026-08-21,credit
