settlement_id,payment_id,order_id,type,debit,credit,amount,fee,tax,created_at,settled_at,utr,entity_id,description,notes
setl_OyRk4TzE1Wq7Ab,pay_Oy000QxLm4Kd00,order_Oy000Rt7Nb00,payment,,508152,509354,1019,183,1728905400,1728991800,HDFC24101800391,acc_OyQ1mLpKd83Xz,UPI payment,
setl_OyRk4TzE1Wq7Ab,pay_Oy001QxLm4Kd00,order_Oy001Rt7Nb00,payment,,600679,621963,18037,3247,1728905400,1729078200,HDFC24101800391,acc_OyQ1mLpKd83Xz,Card payment - credit,rate review pending
setl_OyRk4TzE1Wq7Ab,pay_Oy002QxLm4Kd00,order_Oy002Rt7Nb00,payment,,843080,854166,9395,1691,1728905400,1729078200,HDFC24101800391,acc_OyQ1mLpKd83Xz,Card payment - debit,
setl_OyRk4TzE1Wq7Ab,pay_Oy003QxLm4Kd00,order_Oy003Rt7Nb00,payment,,512772,523269,8896,1601,1728905400,1729078200,HDFC24101800391,acc_OyQ1mLpKd83Xz,Netbanking payment,
setl_OyRk4TzE1Wq7Ab,pay_Oy004QxLm4Kd00,order_Oy004Rt7Nb00,payment,,507579,508780,1018,183,1728905400,1729078200,HDFC24101800391,acc_OyQ1mLpKd83Xz,Card payment - RuPay debit,
setl_OyRk4TzE1Wq7Ab,pay_Oy005QxLm4Kd00,order_Oy005Rt7Nb00,payment,,554117,567510,11350,2043,1728905400,1729078200,HDFC24101800391,acc_OyQ1mLpKd83Xz,Wallet payment,
setl_OyRk4TzE1Wq7Ab,pay_Oy006QxLm4Kd00,order_Oy006Rt7Nb00,payment,,649381,650917,1302,234,1728905400,1728991800,HDFC24101800391,acc_OyQ1mLpKd83Xz,UPI payment,
setl_OyRk4TzE1Wq7Ab,pay_Oy007QxLm4Kd00,order_Oy007Rt7Nb00,payment,,228048,234126,5151,927,1728905400,1729078200,HDFC24101800391,acc_OyQ1mLpKd83Xz,Card payment - credit,
setl_OyRk4TzE1Wq7Ab,pay_Oy008QxLm4Kd00,order_Oy008Rt7Nb00,payment,,225662,228630,2515,453,1728905400,1729078200,HDFC24101800391,acc_OyQ1mLpKd83Xz,Card payment - debit,
setl_OyRk4TzE1Wq7Bc,pay_Oy009QxLm4Kd01,order_Oy009Rt7Nb01,payment,,860338,877950,14925,2687,1728991800,1729164600,HDFC24101900412,acc_OyQ1mLpKd83Xz,Netbanking payment,
setl_OyRk4TzE1Wq7Bc,pay_Oy010QxLm4Kd01,order_Oy010Rt7Nb01,payment,,570425,571775,1144,206,1728991800,1729164600,HDFC24101900412,acc_OyQ1mLpKd83Xz,Card payment - RuPay debit,
setl_OyRk4TzE1Wq7Bc,pay_Oy011QxLm4Kd01,order_Oy011Rt7Nb01,payment,,521273,533873,10678,1922,1728991800,1729164600,HDFC24101900412,acc_OyQ1mLpKd83Xz,Wallet payment,
setl_OyRk4TzE1Wq7Bc,pay_Oy012QxLm4Kd01,order_Oy012Rt7Nb01,payment,,686861,695479,7303,1315,1728991800,1729078200,HDFC24101900412,acc_OyQ1mLpKd83Xz,UPI payment,check mdr
setl_OyRk4TzE1Wq7Bc,pay_Oy013QxLm4Kd01,order_Oy013Rt7Nb01,payment,,661160,678782,14934,2688,1728991800,1729164600,HDFC24101900412,acc_OyQ1mLpKd83Xz,Card payment - credit,
setl_OyRk4TzE1Wq7Bc,pay_Oy014QxLm4Kd01,order_Oy014Rt7Nb01,payment,,855249,866496,9531,1716,1728991800,1729164600,HDFC24101900412,acc_OyQ1mLpKd83Xz,Card payment - debit,
setl_OyRk4TzE1Wq7Bc,pay_Oy015QxLm4Kd01,order_Oy015Rt7Nb01,payment,,225600,230217,3913,704,1728991800,1729164600,HDFC24101900412,acc_OyQ1mLpKd83Xz,Netbanking payment,
setl_OyRk4TzE1Wq7Bc,pay_Oy016QxLm4Kd01,order_Oy016Rt7Nb01,payment,,133380,133695,267,48,1728991800,1729164600,HDFC24101900412,acc_OyQ1mLpKd83Xz,Card payment - RuPay debit,
setl_OyRk4TzE1Wq7Bc,pay_Oy017QxLm4Kd01,order_Oy017Rt7Nb01,payment,,491408,503286,10066,1812,1728991800,1729164600,HDFC24101900412,acc_OyQ1mLpKd83Xz,Wallet payment,
setl_OyRk4TzE1Wq7Cd,pay_Oy018QxLm4Kd02,order_Oy018Rt7Nb02,payment,,352306,353139,706,127,1729078200,1729164600,HDFC24102000577,acc_OyQ1mLpKd83Xz,UPI payment,
setl_OyRk4TzE1Wq7Cd,pay_Oy019QxLm4Kd02,order_Oy019Rt7Nb02,payment,,178914,183682,4041,727,1729078200,1729251000,HDFC24102000577,acc_OyQ1mLpKd83Xz,Card payment - credit,
setl_OyRk4TzE1Wq7Cd,pay_Oy020QxLm4Kd02,order_Oy020Rt7Nb02,payment,,128385,130074,1431,258,1729078200,1729251000,HDFC24102000577,acc_OyQ1mLpKd83Xz,Card payment - debit,
setl_OyRk4TzE1Wq7Cd,pay_Oy021QxLm4Kd02,order_Oy021Rt7Nb02,payment,,587827,599861,10198,1836,1729078200,1729251000,HDFC24102000577,acc_OyQ1mLpKd83Xz,Netbanking payment,
setl_OyRk4TzE1Wq7Cd,pay_Oy022QxLm4Kd02,order_Oy022Rt7Nb02,payment,,881887,883973,1768,318,1729078200,1729251000,HDFC24102000577,acc_OyQ1mLpKd83Xz,Card payment - RuPay debit,
setl_OyRk4TzE1Wq7Cd,pay_Oy023QxLm4Kd02,order_Oy023Rt7Nb02,payment,,744136,762122,15242,2744,1729078200,1729251000,HDFC24102000577,acc_OyQ1mLpKd83Xz,Wallet payment,
setl_OyRk4TzE1Wq7Cd,pay_Oy024QxLm4Kd02,order_Oy024Rt7Nb02,payment,,698618,700271,1401,252,1729078200,1729164600,HDFC24102000577,acc_OyQ1mLpKd83Xz,UPI payment,
setl_OyRk4TzE1Wq7Cd,pay_Oy025QxLm4Kd02,order_Oy025Rt7Nb02,payment,,76866,78914,1736,312,1729078200,1729251000,HDFC24102000577,acc_OyQ1mLpKd83Xz,Card payment - credit,
setl_OyRk4TzE1Wq7Cd,pay_Oy026QxLm4Kd02,order_Oy026Rt7Nb02,payment,,650801,659360,7253,1306,1729078200,1729251000,HDFC24102000577,acc_OyQ1mLpKd83Xz,Card payment - debit,
setl_OyRk4TzE1Wq7Cd,pay_Oy901QxLm4Kd02,order_Oy901Rt7Nb02,refund,249900,,249900,,,1729078200,1729337400,HDFC24102000577,acc_OyQ1mLpKd83Xz,Refund - UPI payment,customer cancelled
setl_OyRk4TzE1Wq7Bc,adj_Oy77PkQm2Rt,,adjustment,125000,,125000,,,1728991800,1728991800,HDFC24101900412,acc_OyQ1mLpKd83Xz,Chargeback adjustment,dispute ref DSP-4471
setl_OyRk4TzE1Wq7Cd,trf_Oy88ZmNc9Lp,,transfer,500000,,500000,,,1729078200,1729078200,HDFC24102000577,acc_OyQ1mLpKd83Xz,Route transfer to linked account,acc_LinkedVendor01
